	cluster	Aging_index	LE_Men	LE_Women	Unemployment
Abeno-ku	1	199.2	79.1	85.8	7
Asahi-ku	0	233.8	77.5	85.3	9.2
Ch__-ku	1	215.6	78.3	84.8	7
Fukushima-ku	1	168	78.4	85.7	6.5
Higashinari-ku	1	204.6	78.4	85.4	8.2
Higashisumiyoshi-ku	1	212.3	77.3	85.7	8.4
Higashiyodogawa-ku	1	179.1	77.2	84.3	10.1
Hirano-ku	0	169.1	78	84.8	9.3
Ikuno-ku	1	254.1	76.7	85.4	10
J_t_-ku	0	165.3	78.8	85.9	8.3
Kita-ku	1	220.7	78.4	85.9	7.3
Konohana-ku	0	195.3	76.9	84.6	9
Minato-ku	1	199.6	77.2	85	8.5
Miyakojima-ku	1	178.3	78.1	85.1	7.9
Naniwa-ku	1	320	75.9	84.4	12.5
Nishi-ku	0	146.4	79.5	85.8	6.4
Nishinari-ku	0	455.1	72.4	83.8	17.9
Nishiyodogawa-ku	0	153.4	77.8	85.6	7.9
Suminoe-ku	1	187.2	77.7	85.4	8.9
Sumiyoshi-ku	0	19.7	77.3	85.2	8.8
Taish_-ku	1	206.6	77.6	85.1	9.8
Tenn_ji-ku	1	147.6	79.6	86.1	6.2
Tsurumi-ku	1	117.6	78.6	84.8	7.7
Yodogawa-ku	0	186.6	77.8	85.1	11.8